"id","period","player_appearance_id","addressee_player_appearance_id","accurate","pressing_player_appearance_id","press_induced_outcome","pass_angle","minute","stage"
244091,"half_1",40764,NULL,False,40788,"turnover",NULL,3,"bottom"
244092,"half_1",40764,40761,True,40788,"backward_pass","27.52601305025867",3,"bottom"
244093,"half_1",40764,40781,False,40788,"turnover",NULL,3,"middle"
244094,"half_1",40764,40766,True,40788,"forward_pass","-11.530730119854654",8,"middle"
244095,"half_1",40764,40763,True,40783,"backward_pass","-1.9993227001267515",17,"bottom"
244096,"half_1",40764,40766,True,40788,"forward_pass","-52.12605848601611",19,"top"
244097,"half_1",40764,40783,False,40783,"turnover",NULL,27,"middle"
244098,"half_1",40764,40770,True,40783,"ball_carry",NULL,28,"middle"
244099,"half_1",40764,40762,True,40782,"backward_pass","19.516302183575807",33,"middle"
244100,"half_1",40764,40774,True,40788,"forward_pass","-49.281242093055006",37,"bottom"
244101,"half_1",40764,40761,True,40782,"forward_pass","-64.54510944788012",39,"middle"
244102,"half_1",40764,40761,True,40783,"forward_pass","-70.53497782073714",41,"middle"
244103,"half_2",40764,40784,False,40784,"turnover",NULL,24,"top"
255461,"half_1",42220,42212,True,42207,"lateral_pass","85.84660956944073",5,"bottom"
255462,"half_1",42220,42206,False,42208,"ball_carry",NULL,8,"bottom"
255463,"half_1",42220,42221,True,42208,"backward_pass","52.82972644293531",12,"middle"
255464,"half_1",42220,42210,True,42207,"lateral_pass","78.70962791732507",12,"middle"
255465,"half_1",42220,42203,False,42203,"turnover",NULL,18,"middle"
255466,"half_1",42220,42221,True,42201,"forward_pass","5.719987171247241",25,"middle"
255467,"half_1",42220,42212,True,42207,"forward_pass","35.501767064846184",28,"middle"
255468,"half_1",42220,42203,False,42203,"ball_carry",NULL,31,"middle"
255469,"half_1",42220,42214,True,42203,"forward_pass","-5.115063604587476",31,"middle"
255470,"half_1",42220,42212,True,42201,"forward_pass","70.50520588314238",31,"middle"
255471,"half_1",42220,42206,False,42203,"turnover",NULL,41,"bottom"
255472,"half_2",42220,42212,True,42203,"forward_pass","21.68364843331259",29,"middle"
255473,"half_2",42220,42204,False,42208,"ball_carry",NULL,31,"bottom"
255474,"half_2",42220,42212,True,42202,"forward_pass","56.71277491177249",33,"middle"
247835,"half_1",41332,41333,True,41346,"backward_pass","2.9779400335489137",1,"middle"
247836,"half_1",41332,NULL,False,41346,"turnover",NULL,13,"middle"
247837,"half_1",41332,41348,False,41348,"turnover",NULL,16,"bottom"
247838,"half_1",41332,41349,False,41345,"turnover",NULL,33,"bottom"
247839,"half_1",41332,41341,False,41346,"turnover",NULL,36,"top"
247840,"half_1",41332,41348,False,41355,"turnover",NULL,40,"top"
247841,"half_1",41332,41339,True,41355,"backward_pass","-38.65660775952173",40,"middle"
247842,"half_1",41332,41329,True,41346,"backward_pass","-56.309932474021004",40,"middle"
247843,"half_1",41332,41331,True,41349,"forward_pass","-20.963899281781",41,"middle"
235005,"half_2",39675,39652,False,39652,"turnover",NULL,37,"middle"
235006,"half_2",39675,39678,True,39661,"forward_pass","-28.412429122386165",40,"middle"
250248,"half_2",41581,41580,True,41565,"backward_pass","-27.10479739314926",48,"middle"
253049,"half_2",41903,41889,True,41916,"forward_pass","-3.6161289772756797",46,"middle"
253050,"half_2",41903,41908,False,41908,"turnover",NULL,46,"middle"
437305,"half_1",65530,65535,True,65555,"forward_pass","-6.067777381671132",1,"middle"
437306,"half_1",65530,65536,True,65557,"backward_pass","16.198980218439928",2,"top"
437307,"half_1",65530,65539,True,65557,"forward_pass","48.333633622643006",4,"middle"
437308,"half_1",65530,65532,True,65557,"backward_pass","45.37009487775862",15,"middle"
437309,"half_1",65530,NULL,False,65552,"turnover",NULL,37,"bottom"
437310,"half_1",65530,65533,True,65552,"lateral_pass","86.11367685490193",43,"middle"
437311,"half_2",65530,65554,False,65554,"turnover",NULL,3,"bottom"
437312,"half_2",65530,65533,True,65557,"backward_pass","28.210842390806185",3,"top"
437313,"half_2",65530,65533,True,65554,"ball_carry",NULL,10,"middle"
437314,"half_2",65530,65536,True,65557,"forward_pass","27.979721849919873",15,"middle"
437315,"half_2",65530,NULL,False,65552,"turnover",NULL,23,"bottom"
