"id","period","player_appearance_id","addressee_player_appearance_id","accurate","minute","stage"
816920,"half_1",40764,40770,True,27,"middle"
816921,"half_1",40764,40770,True,40,"middle"
816922,"half_2",40764,40770,True,4,"bottom"
816923,"half_2",40764,40770,True,11,"middle"
816924,"half_2",40764,40770,True,13,"middle"
816925,"half_2",40764,40770,True,18,"top"
816961,"half_1",40764,40761,True,39,"middle"
816962,"half_1",40764,40761,True,40,"middle"
816963,"half_1",40764,40761,True,41,"middle"
817029,"half_1",40764,40763,True,7,"middle"
817030,"half_1",40764,40763,True,17,"middle"
817031,"half_1",40764,40763,True,18,"bottom"
817032,"half_1",40764,40763,True,21,"middle"
817033,"half_1",40764,40763,True,27,"middle"
817092,"half_1",40764,40774,True,37,"bottom"
817093,"half_1",40764,40774,True,39,"middle"
817094,"half_1",40764,40774,True,41,"middle"
817095,"half_2",40764,40774,True,8,"bottom"
817096,"half_2",40764,40774,True,9,"middle"
817097,"half_2",40764,40774,True,11,"middle"
817098,"half_2",40764,40774,True,12,"middle"
817099,"half_2",40764,40774,True,15,"middle"
817100,"half_2",40764,40774,True,23,"middle"
817101,"half_2",40764,40774,True,23,"middle"
817102,"half_2",40764,40774,True,25,"top"
817120,"half_1",40764,40788,False,19,"top"
817140,"half_1",40764,40765,True,1,"middle"
817141,"half_1",40764,40765,True,28,"middle"
817142,"half_1",40764,40765,True,36,"middle"
817143,"half_1",40764,40765,True,41,"middle"
817144,"half_2",40764,40765,True,2,"middle"
817145,"half_2",40764,40765,True,8,"middle"
817146,"half_2",40764,40765,True,8,"middle"
817147,"half_2",40764,40765,True,8,"top"
817148,"half_2",40764,40765,True,11,"middle"
817149,"half_2",40764,40765,True,18,"top"
817200,"half_1",40764,40773,True,8,"middle"
817201,"half_1",40764,40773,True,17,"middle"
817202,"half_1",40764,40773,True,18,"top"
817203,"half_1",40764,40773,True,41,"middle"
817204,"half_2",40764,40773,True,10,"middle"
817205,"half_2",40764,40773,True,11,"middle"
817206,"half_2",40764,40773,True,13,"middle"
817207,"half_2",40764,40773,True,26,"top"
817241,"half_1",40764,40766,True,21,"middle"
817242,"half_2",40764,40766,True,6,"top"
817277,"half_1",40764,40764,True,28,"middle"
817353,"half_1",40764,40762,True,7,"bottom"
817354,"half_1",40764,40762,True,21,"middle"
817355,"half_1",40764,40762,True,21,"middle"
817356,"half_1",40764,40762,True,23,"middle"
817357,"half_1",40764,40762,True,27,"middle"
817358,"half_1",40764,40762,True,33,"middle"
817359,"half_1",40764,40762,True,35,"middle"
817455,"half_1",40764,40782,False,46,"middle"
817598,"half_1",40764,40781,False,12,"middle"
817679,"half_2",40764,40771,True,23,"middle"
817697,"half_2",40764,40769,True,22,"middle"
817698,"half_2",40764,40769,True,26,"top"
817712,"half_2",40764,40768,True,24,"top"
817713,"half_2",40764,40768,True,24,"top"
842452,"half_2",42220,42195,False,15,"middle"
842499,"half_2",42220,42204,False,31,"bottom"
842513,"half_1",42220,42212,True,6,"middle"
842514,"half_1",42220,42212,True,7,"middle"
842515,"half_1",42220,42212,True,11,"middle"
842516,"half_1",42220,42212,True,16,"bottom"
842517,"half_1",42220,42212,True,17,"middle"
842518,"half_1",42220,42212,True,18,"middle"
842519,"half_1",42220,42212,True,22,"bottom"
842520,"half_1",42220,42212,True,26,"middle"
842521,"half_1",42220,42212,True,28,"middle"
842522,"half_1",42220,42212,True,28,"middle"
842523,"half_1",42220,42212,True,31,"middle"
842524,"half_1",42220,42212,True,36,"middle"
842525,"half_1",42220,42212,True,38,"middle"
842526,"half_1",42220,42212,True,44,"middle"
842527,"half_1",42220,42212,True,45,"bottom"
842528,"half_1",42220,42212,True,46,"middle"
842529,"half_2",42220,42212,True,4,"middle"
842530,"half_2",42220,42212,True,8,"middle"
842531,"half_2",42220,42212,True,16,"middle"
842532,"half_2",42220,42212,True,20,"middle"
842533,"half_2",42220,42212,True,22,"middle"
842534,"half_2",42220,42212,True,27,"middle"
842535,"half_2",42220,42212,True,29,"middle"
842536,"half_2",42220,42212,True,32,"bottom"
842537,"half_2",42220,42212,True,33,"middle"
842538,"half_2",42220,42212,True,33,"middle"
842577,"half_1",42220,42206,False,8,"bottom"
842650,"half_2",42220,42197,False,19,"middle"
842798,"half_2",42220,42200,False,1,"bottom"
842826,"half_1",42220,42219,True,1,"middle"
842827,"half_1",42220,42219,True,17,"middle"
842828,"half_1",42220,42219,True,32,"bottom"
842829,"half_1",42220,42219,True,36,"bottom"
842830,"half_2",42220,42219,True,2,"bottom"
842831,"half_2",42220,42219,True,13,"bottom"
842832,"half_2",42220,42219,True,14,"bottom"
842833,"half_2",42220,42219,True,29,"bottom"
842850,"half_1",42220,42210,True,5,"middle"
842851,"half_1",42220,42210,True,11,"middle"
842852,"half_1",42220,42210,True,12,"middle"
842853,"half_1",42220,42210,True,16,"middle"
842854,"half_1",42220,42210,True,18,"middle"
842855,"half_1",42220,42210,True,28,"middle"
842856,"half_1",42220,42210,True,28,"middle"
842857,"half_1",42220,42210,True,30,"bottom"
842858,"half_2",42220,42210,True,4,"middle"
842901,"half_1",42220,42222,True,17,"bottom"
842902,"half_1",42220,42222,True,22,"middle"
842903,"half_1",42220,42222,True,33,"middle"
